* 산물코드(productno)는 결과값을 확인하는 용도로 제공해드립니다. 요청사항은 코드통합sheet를 이용해주시기 바랍니다.,,,,,,,,,,,
산물번호,산물분류명,산물분류코드,품목분류명,품목분류코드,품목명,품목코드,품종명,품종코드,산물등급명,산물등급코드,산물부류별_단위
1537,소매,01,식량작물,100,쌀,111,10kg,10,상품,04,10kg
1556,소매,01,식량작물,100,쌀,111,10kg(햅쌀),11,상품,04,10kg
272,소매,01,식량작물,100,쌀,111,20kg,01,상품,04,20kg
273,소매,01,식량작물,100,쌀,111,20kg(햅쌀),05,상품,04,20kg
1,중도매,02,식량작물,100,쌀,111,20kg,01,상품,04,20kg
2,중도매,02,식량작물,100,쌀,111,20kg,01,중품,05,20kg
3,중도매,02,식량작물,100,쌀,111,20kg(햅쌀),05,상품,04,20kg
4,중도매,02,식량작물,100,쌀,111,20kg(햅쌀),05,중품,05,20kg
1401,친환경농산물(신규),07,식량작물,100,쌀,111,백미,02,무농약,08,4kg
1400,친환경농산물(신규),07,식량작물,100,쌀,111,백미,02,유기농,07,4kg
1403,친환경농산물(신규),07,식량작물,100,쌀,111,현미,03,무농약,08,2kg
1402,친환경농산물(신규),07,식량작물,100,쌀,111,현미,03,유기농,07,2kg
274,소매,01,식량작물,100,찹쌀,112,일반계,01,상품,04,1kg
5,중도매,02,식량작물,100,찹쌀,112,일반계,01,상품,04,40kg
6,중도매,02,식량작물,100,찹쌀,112,일반계,01,중품,05,40kg
1405,친환경농산물(신규),07,식량작물,100,찹쌀,112,일반계,01,무농약,08,1kg
1404,친환경농산물(신규),07,식량작물,100,찹쌀,112,일반계,01,유기농,07,1kg
1407,친환경농산물(신규),07,식량작물,100,혼합곡,113,혼합곡,00,무농약,08,800g
1406,친환경농산물(신규),07,식량작물,100,혼합곡,113,혼합곡,00,유기농,07,800g
1960,친환경농산물(신규),07,식량작물,100,기장,114,기장,01,무농약,08,400g
1959,친환경농산물(신규),07,식량작물,100,기장,114,기장,01,유기농,07,400g
275,소매,01,식량작물,100,콩,141,흰 콩(국산),01,상품,04,500g
276,소매,01,식량작물,100,콩,141,흰 콩(국산),01,중품,05,500g
10,중도매,02,식량작물,100,콩,141,콩나물콩,02,상품,04,35kg
11,중도매,02,식량작물,100,콩,141,콩나물콩,02,중품,05,35kg
8,중도매,02,식량작물,100,콩,141,흰 콩(국산),01,상품,04,40kg
9,중도매,02,식량작물,100,콩,141,흰 콩(국산),01,중품,05,40kg
12,중도매,02,식량작물,100,콩,141,흰 콩(수입),03,중품,05,35kg
1942,친환경농산물(신규),07,식량작물,100,콩,141,흰 콩(국산),01,무농약,08,500g
1941,친환경농산물(신규),07,식량작물,100,콩,141,흰 콩(국산),01,유기농,07,500g
277,소매,01,식량작물,100,팥,142,붉은 팥(국산),00,상품,04,500g
278,소매,01,식량작물,100,팥,142,붉은 팥(국산),00,중품,05,500g
13,중도매,02,식량작물,100,팥,142,붉은 팥(국산),00,상품,04,40kg
14,중도매,02,식량작물,100,팥,142,붉은 팥(국산),00,중품,05,40kg
15,중도매,02,식량작물,100,팥,142,붉은 팥(수입),01,중품,05,40kg
279,소매,01,식량작물,100,녹두,143,국산,00,상품,04,500g
280,소매,01,식량작물,100,녹두,143,국산,00,중품,05,500g
16,중도매,02,식량작물,100,녹두,143,국산,00,상품,04,40kg
17,중도매,02,식량작물,100,녹두,143,국산,00,중품,05,40kg
18,중도매,02,식량작물,100,녹두,143,수입,01,중품,05,40kg
19,중도매,02,식량작물,100,메밀,144,메밀(수입),01,중품,05,1kg
281,소매,01,식량작물,100,고구마,151,밤,00,상품,04,1kg
282,소매,01,식량작물,100,고구마,151,밤,00,중품,05,1kg
20,중도매,02,식량작물,100,고구마,151,밤,00,상품,04,10kg
21,중도매,02,식량작물,100,고구마,151,밤,00,중품,05,10kg
1399,친환경농산물(신규),07,식량작물,100,고구마,151,밤,00,무농약,08,800g
1398,친환경농산물(신규),07,식량작물,100,고구마,151,밤,00,유기농,07,800g
283,소매,01,식량작물,100,감자,152,감자,00,상품,04,1kg
284,소매,01,식량작물,100,감자,152,감자,00,중품,05,1kg
2251,소매,01,식량작물,100,감자,152,기타(노지),06,상품,04,100g
2252,소매,01,식량작물,100,감자,152,기타(노지),06,중품,05,100g
2249,소매,01,식량작물,100,감자,152,기타(시설),05,상품,04,100g
2250,소매,01,식량작물,100,감자,152,기타(시설),05,중품,05,100g
1898,소매,01,식량작물,100,감자,152,노지,03,상품,04,100g
1899,소매,01,식량작물,100,감자,152,노지,03,중품,05,100g
287,소매,01,식량작물,100,감자,152,대지마,02,상품,04,100g
288,소매,01,식량작물,100,감자,152,대지마,02,중품,05,100g
285,소매,01,식량작물,100,감자,152,수미(노지),01,상품,04,100g
286,소매,01,식량작물,100,감자,152,수미(노지),01,중품,05,100g
1902,소매,01,식량작물,100,감자,152,수미(시설),04,상품,04,100g
1903,소매,01,식량작물,100,감자,152,수미(시설),04,중품,05,100g
22,중도매,02,식량작물,100,감자,152,감자,00,상품,04,20kg
23,중도매,02,식량작물,100,감자,152,감자,00,중품,05,20kg
2247,중도매,02,식량작물,100,감자,152,기타(노지),06,상품,04,20kg
2248,중도매,02,식량작물,100,감자,152,기타(노지),06,중품,05,20kg
2245,중도매,02,식량작물,100,감자,152,기타(시설),05,상품,04,20kg
2246,중도매,02,식량작물,100,감자,152,기타(시설),05,중품,05,20kg
1896,중도매,02,식량작물,100,감자,152,노지,03,상품,04,20kg
1897,중도매,02,식량작물,100,감자,152,노지,03,중품,05,20kg
26,중도매,02,식량작물,100,감자,152,대지마,02,상품,04,20kg
27,중도매,02,식량작물,100,감자,152,대지마,02,중품,05,20kg
24,중도매,02,식량작물,100,감자,152,수미(노지),01,상품,04,20kg
25,중도매,02,식량작물,100,감자,152,수미(노지),01,중품,05,20kg
1900,중도매,02,식량작물,100,감자,152,수미(시설),04,상품,04,20kg
1901,중도매,02,식량작물,100,감자,152,수미(시설),04,중품,05,20kg
1397,친환경농산물(신규),07,식량작물,100,감자,152,수미(노지),01,무농약,08,1kg
1396,친환경농산물(신규),07,식량작물,100,감자,152,수미(노지),01,유기농,07,1kg
1409,친환경농산물(신규),07,식량작물,100,귀리,161,귀리,01,무농약,08,1kg
1408,친환경농산물(신규),07,식량작물,100,귀리,161,귀리,01,유기농,07,1kg
1411,친환경농산물(신규),07,식량작물,100,보리,162,보리,01,무농약,08,800g
1410,친환경농산물(신규),07,식량작물,100,보리,162,보리,01,유기농,07,800g
1413,친환경농산물(신규),07,식량작물,100,수수,163,수수,01,무농약,08,400g
1412,친환경농산물(신규),07,식량작물,100,수수,163,수수,01,유기농,07,400g
1415,친환경농산물(신규),07,식량작물,100,율무,164,율무,01,무농약,08,400g
